Index,Combined,Type,Nato Designation,Pennant No.,Name,Name,Commissioned,Tons,Fleet,Status
113,"Luhu Type 052 destroyer Name: Qingdao/青岛, Commisioned:1996, Tons:4800, Fleet:North Sea Fleet",Type 052 destroyer,Luhu class,113,Qingdao,青岛,1996,4800,North Sea Fleet,Active
168,"Luyang I Type 052B destroyer Name: Guangzhou/广州, Commisioned:2004, Tons:5900, Fleet:South Sea Fleet",Type 052B destroyer,Luyang I class,168,Guangzhou,广州,2004,5900,South Sea Fleet,Active
169,"Luyang I Type 052B destroyer Name: Wuhan/武汉, Commisioned:2004, Tons:5900, Fleet:South Sea Fleet",Type 052B destroyer,Luyang I class,169,Wuhan,武汉,2004,5900,South Sea Fleet,Active
170,"Luyang II Type 052C destroyer Name: Lanzhou/兰州, Commisioned:2004, Tons:6300, Fleet:South Sea Fleet",Type 052C destroyer,Luyang II class,170,Lanzhou,兰州,2004,6300,South Sea Fleet,Active
171,"Luyang II Type 052C destroyer Name: Haikou/海口, Commisioned:2005, Tons:6300, Fleet:South Sea Fleet",Type 052C destroyer,Luyang II class,171,Haikou,海口,2005,6300,South Sea Fleet,Active
150,"Luyang II Type 052C destroyer Name: Changchun/长春, Commisioned:2013, Tons:6500, Fleet:East Sea Fleet",Type 052C destroyer,Luyang II class,150,Changchun,长春,2013,6500,East Sea Fleet,Active
151,"Luyang II Type 052C destroyer Name: Zhengzhou/郑州, Commisioned:2013, Tons:6500, Fleet:East Sea Fleet",Type 052C destroyer,Luyang II class,151,Zhengzhou,郑州,2013,6500,East Sea Fleet,Active
152,"Luyang II Type 052C destroyer Name: Jinan/济南, Commisioned:2014, Tons:6500, Fleet:East Sea Fleet",Type 052C destroyer,Luyang II class,152,Jinan,济南,2014,6500,East Sea Fleet,Active
153,"Luyang II Type 052C destroyer Name: Xi'an/西安, Commisioned:2015, Tons:6500, Fleet:East Sea Fleet",Type 052C destroyer,Luyang II class,153,Xi'an,西安,2015,6500,East Sea Fleet,Active
172,"Luyang III Type 052D destroyer Name: Kunming/昆明, Commisioned:2014, Tons:7500, Fleet:South Sea Fleet",Type 052D destroyer,Luyang III class,172,Kunming,昆明,2014,7500,South Sea Fleet,Active
173,"Luyang III Type 052D destroyer Name: Changsha/长沙, Commisioned:2015, Tons:7500, Fleet:South Sea Fleet",Type 052D destroyer,Luyang III class,173,Changsha,长沙,2015,7500,South Sea Fleet,Active
174,"Luyang III Type 052D destroyer Name: Hefei/合肥, Commisioned:2015, Tons:7500, Fleet:South Sea Fleet",Type 052D destroyer,Luyang III class,174,Hefei,合肥,2015,7500,South Sea Fleet,Active
175,"Luyang III Type 052D destroyer Name: Yinchuan/银川, Commisioned:2016, Tons:7500, Fleet:South Sea Fleet",Type 052D destroyer,Luyang III class,175,Yinchuan,银川,2016,7500,South Sea Fleet,Active
117,"Luyang III Type 052D destroyer Name: Xining/西宁, Commisioned:2017, Tons:7500, Fleet:North Sea Fleet",Type 052D destroyer,Luyang III class,117,Xining,西宁,2017,7500,North Sea Fleet,Active
154,"Luyang III Type 052D destroyer Name: Xiamen/厦门, Commisioned:2017, Tons:7500, Fleet:East Sea Fleet",Type 052D destroyer,Luyang III class,154,Xiamen,厦门,2017,7500,East Sea Fleet,Active
118,"Luyang III Type 052D destroyer Name: Urumqi/乌鲁木齐, Commisioned:2018, Tons:7500, Fleet:North Sea Fleet",Type 052D destroyer,Luyang III class,118,Urumqi,乌鲁木齐,2018,7500,North Sea Fleet,Active
155,"Luyang III Type 052D destroyer Name: Nanjing/南京, Commisioned:2018, Tons:7500, Fleet:East Sea Fleet",Type 052D destroyer,Luyang III class,155,Nanjing,南京,2018,7500,East Sea Fleet,Active
131,"Luyang III Type 052D destroyer Name: Taiyuan/太原, Commisioned:2018, Tons:7500, Fleet:East Sea Fleet",Type 052D destroyer,Luyang III class,131,Taiyuan,太原,2018,7500,East Sea Fleet,Active
161,"Luyang III Type 052D destroyer Name: Hohhot/呼和浩特, Commisioned:2019, Tons:7500, Fleet:South Sea Fleet",Type 052D destroyer,Luyang III class,161,Hohhot,呼和浩特,2019,7500,South Sea Fleet,Active
119,"Luyang III Type 052D destroyer Name: Guiyang/贵阳, Commisioned:2019, Tons:7500, Fleet:North Sea Fleet",Type 052D destroyer,Luyang III class,119,Guiyang,贵阳,2019,7500,North Sea Fleet,Active
120,"Luyang III Type 052D destroyer Name: Chengdu/成都, Commisioned:2019, Tons:7500, Fleet:North Sea Fleet",Type 052D destroyer,Luyang III class,120,Chengdu,成都,2019,7500,North Sea Fleet,Active
121,"Luyang III Type 052D destroyer Name: Qiqihar/齐齐哈尔, Commisioned:2019 est., Tons:7500, Fleet:East Sea Fleet",Type 052D destroyer,Luyang III class,121,Qiqihar,齐齐哈尔,2019 est.,7500,East Sea Fleet,Sea trials
162,"Luyang III Type 052D destroyer Name: Nanning/南宁, Commisioned:2020 est., Tons:7500, Fleet:Varies",Type 052D destroyer,Luyang III class,162,Nanning,南宁,2020 est.,7500,Varies,Fitting out
132,"Luyang III Type 052D destroyer Name: Zibo/淄博, Commisioned:2020 est., Tons:7500, Fleet:Varies",Type 052D destroyer,Luyang III class,132,Zibo,淄博,2020 est.,7500,Varies,Fitting out
0,"Luyang III Type 052D destroyer Name: /, Commisioned:2020 est, Tons:7500, Fleet:Varies",Type 052D destroyer,Luyang III class,,,,2020 est,7500,Varies,Fitting out
0,"Luyang III Type 052D destroyer Name: /, Commisioned:2020 est, Tons:7500, Fleet:Varies",Type 052D destroyer,Luyang III class,,,,2020 est,7500,Varies,Fitting out
0,"Luyang III Type 052D destroyer Name: /, Commisioned:2021 est, Tons:7500, Fleet:Varies",Type 052D destroyer,Luyang III class,,,,2021 est,7500,Varies,Fitting out
0,"Luyang III Type 052D destroyer Name: /, Commisioned:2021 est, Tons:7500, Fleet:Varies",Type 052D destroyer,Luyang III class,,,,2021 est,7500,Varies,Fitting out
0,"Luyang III Type 052D destroyer Name: /, Commisioned:2021 est, Tons:7500, Fleet:Varies",Type 052D destroyer,Luyang III class,,,,2021 est,7500,Varies,Fitting out
